sku,location_id,on_hand,inbound
SKU-RED-TEA,DC-EAST,340,60
SKU-RED-TEA,DC-WEST,210,0
SKU-RED-TEA,STORE-NY,80,0
SKU-RED-TEA,STORE-SF,60,0
SKU-RED-TEA,STORE-CHI,65,0
SKU-RED-TEA,STORE-DAL,62,0
SKU-RED-TEA,ONLINE,90,20
SKU-MASALA,DC-EAST,250,20
SKU-MASALA,DC-WEST,170,0
SKU-MASALA,STORE-NY,70,0
SKU-MASALA,STORE-SF,55,0
SKU-MASALA,STORE-CHI,58,0
SKU-MASALA,STORE-DAL,54,0
SKU-MASALA,ONLINE,55,0
SKU-BLACK-TEA,DC-EAST,270,30
SKU-BLACK-TEA,DC-WEST,180,20
SKU-BLACK-TEA,STORE-NY,52,0
SKU-BLACK-TEA,STORE-SF,45,0
SKU-BLACK-TEA,STORE-CHI,42,0
SKU-BLACK-TEA,STORE-DAL,40,0
SKU-BLACK-TEA,ONLINE,65,10
SKU-RICE,DC-EAST,980,180
SKU-RICE,DC-WEST,740,140
SKU-RICE,STORE-NY,110,0
SKU-RICE,STORE-SF,95,0
SKU-RICE,STORE-CHI,100,0
SKU-RICE,STORE-DAL,98,0
SKU-RICE,ONLINE,130,0
SKU-PULSES,DC-EAST,480,0
SKU-PULSES,DC-WEST,360,70
SKU-PULSES,STORE-NY,84,0
SKU-PULSES,STORE-SF,72,0
SKU-PULSES,STORE-CHI,76,0
SKU-PULSES,STORE-DAL,70,0
SKU-PULSES,ONLINE,90,0
SKU-FLOUR,DC-EAST,540,100
SKU-FLOUR,DC-WEST,380,80
SKU-FLOUR,STORE-NY,78,0
SKU-FLOUR,STORE-SF,70,0
SKU-FLOUR,STORE-CHI,72,0
SKU-FLOUR,STORE-DAL,68,0
SKU-FLOUR,ONLINE,92,0
SKU-GHEE,DC-EAST,200,40
SKU-GHEE,DC-WEST,150,25
SKU-GHEE,STORE-NY,32,0
SKU-GHEE,STORE-SF,28,0
SKU-GHEE,STORE-CHI,30,0
SKU-GHEE,STORE-DAL,26,0
